"","origin.code","landing.year","land.month","catch.mt","period"
"350",814,1981,2,9.59349003456378,2
"351",814,1981,4,9.93368471664051,2
"352",814,1981,5,9.02196296867487,3
"353",814,1981,6,19.6768604113181,3
"354",814,1981,7,12.2197929801961,3
"355",814,1981,10,3.46998575718264,3
"356",814,1981,12,0.166922190672315,4
"357",814,1982,8,2.59908737106622,5
"358",814,1984,1,1.95952136876196,8
"359",814,1984,2,3.54936451633388,8
"360",814,1984,12,107.589970153587,10
"361",814,1985,1,71.4091317324528,10
"362",814,1985,2,57.1164191561358,10
"363",814,1985,3,20.1667407535085,10
"364",814,1985,4,17.8103255889904,10
"365",814,1985,5,1.56489553755296,11
"366",814,1985,7,11.0177717701917,11
"367",814,1985,8,24.6799902023932,11
"368",814,1985,9,1.46056916838276,11
"369",814,1985,11,66.8745634168247,12
"370",814,1985,12,82.5221580136259,12
"371",814,1986,1,82.7063167348568,12
"372",814,1986,2,34.28708802424,12
"373",814,1986,4,8.3579029492611,12
"374",814,1986,5,1.40160209015613,13
"375",814,1986,6,12.2488229264,13
"376",814,1986,7,27.1679473106476,13
"377",814,1986,8,7.2824341609892,13
"378",814,1986,9,28.152243924123,13
"379",814,1986,10,5.49074216871842,13
"380",814,1986,11,15.1908265369996,14
"381",814,1986,12,36.6321633660223,14
"382",814,1987,1,60.2171802850378,14
"383",814,1987,2,41.3672197476209,14
"384",814,1987,3,33.561339369143,14
"385",814,1987,4,58.7062623037077,14
"386",814,1987,5,30.8642759296387,15
"387",814,1987,6,13.8754070996362,15
"388",814,1987,7,10.258003646887,15
"389",814,1987,8,12.2061851929131,15
"390",814,1987,10,26.3365115076521,15
"391",814,1987,11,4.17713710299281,16
"392",814,1987,12,5.14147562845298,16
"393",814,1988,1,5.51568977873738,16
"394",814,1988,4,4.88065970552748,16
"395",814,1988,6,0.36514229209569,17
"396",814,1988,7,3.63327920457947,17
"397",814,1988,10,4.18666255409095,17
"398",814,1988,11,40.1298182906805,18
"399",814,1988,12,7.00574248623346,18
"400",814,1989,1,2.40767116328438,18
"401",814,1989,2,4.03743048688663,18
"402",814,1989,3,3.36339142346527,18
"403",814,1989,4,41.0093349420762,18
"404",814,1989,5,2.35414719997097,19
"405",814,1989,6,9.64111729005452,19
"406",814,1989,7,1.50592845932632,19
"407",814,1989,8,11.103500830075,19
"408",814,1989,9,13.9207663905798,19
"409",814,1989,11,15.7736934256244,20
"410",814,1989,12,36.0334207255672,20
"411",814,1990,1,5.65176765156807,20
"412",814,1990,2,12.1630938665167,20
"413",814,1990,3,4.41799493790313,20
"414",814,1990,4,10.36006205151,20
"415",814,1990,5,32.8587239524272,21
"416",814,1990,6,7.15996407544157,21
"417",814,1990,7,32.9621431357785,21
"418",814,1990,8,71.0984205894894,21
"419",814,1990,9,48.3325924649146,21
"420",814,1990,10,59.9536428046557,21
"421",814,1990,11,47.8667525469242,22
"422",814,1990,12,25.3934918489354,22
"423",814,1991,1,0.349266540265443,22
"424",814,1991,2,24.9158585152997,22
"425",814,1991,3,20.2270686104635,22
